id exp hero_lv_limit power_reward max_power max_friend max_vitality 
1 25 10 20 60 30 10
2 25 11 20 62 31 10
3 25 11 20 63 32 10
4 30 12 20 64 33 10
5 30 12 20 65 34 10
6 30 13 25 66 35 10
7 50 13 25 67 36 10
8 80 14 25 68 37 10
9 100 14 25 69 38 10
10 130 15 25 70 39 10
11 130 15 30 71 40 15
12 130 16 30 72 41 15
13 130 16 30 73 42 15
14 130 17 30 74 43 15
15 130 17 30 75 44 15
16 130 18 35 76 45 15
17 130 18 35 77 46 15
18 130 19 35 78 47 15
19 130 19 35 79 48 15
20 130 20 35 80 49 15
21 130 21 40 81 50 20
22 150 22 40 82 51 20
23 160 23 40 83 52 20
24 180 24 40 84 53 20
25 190 25 40 85 54 20
26 200 26 45 86 55 20
27 240 27 45 87 56 20
28 280 28 45 88 57 20
29 300 29 45 89 58 20
30 350 30 45 90 59 20
31 400 31 50 91 60 25
32 450 32 50 92 61 25
33 500 33 50 93 62 25
34 610 34 50 94 63 25
35 720 35 60 95 64 25
36 830 36 60 96 65 25
37 1100 37 60 97 66 25
38 1200 38 60 98 67 25
39 1200 39 60 99 68 25
40 1500 40 70 100 69 25
41 1500 41 70 101 70 30
42 1700 42 70 102 71 30
43 1700 43 70 103 72 30
44 1700 44 70 104 73 30
45 1800 45 70 105 74 30
46 2000 46 80 106 75 30
47 2000 47 80 107 76 30
48 2200 48 80 108 77 30
49 2200 49 80 109 78 30
50 2300 50 80 110 79 30
51 2300 51 90 111 80 35
52 2300 52 90 112 81 35
53 2500 53 90 113 82 35
54 2700 54 90 114 83 35
55 2700 55 90 115 84 35
56 2800 56 100 116 85 35
57 3000 57 100 117 86 35
58 3200 58 100 118 87 35
59 3300 59 100 119 88 35
60 3300 60 100 120 89 35
61 3300 61 110 121 90 40
62 3500 62 110 122 91 40
63 3500 63 110 123 92 40
64 3700 64 110 124 93 40
65 3800 65 110 125 94 40
66 4000 66 120 126 95 40
67 4200 67 120 127 96 40
68 4300 68 120 128 97 40
69 4500 69 120 129 98 40
70 4500 70 120 130 99 40
71 4700 71 130 131 100 40
72 4800 72 130 132 101 40
73 5000 73 130 133 102 40
74 5000 74 130 134 103 40
75 5100 75 130 135 104 40
76 5200 76 140 136 105 40
77 5300 77 140 137 106 40
78 5400 78 140 138 107 40
79 5500 79 140 139 108 40
80 5600 80 140 140 109 40
